"MaterialID","MaterialName","Thickness","Width","Size","Material","MaterialStandardPrice","UnitOfMeasure","MaterialType"
"3/4416CHE","3/4in X 4in X 16ft  Cherry","3/4","4","3/4in X 4in X 16ft","Cherry",24.0,"bdft","Wood"
"21010BIR","2in X 10in X 10ft  Birch","2","10","2in X 10in X 10ft","Birch",60.0,"bdft","Wood"
"3/4312WAL","3/4in X 3in X 12ft  Walnut","3/4","3","3/4in X 3in X 12ft","Walnut",12.15,"bdft","Wood"
"468PIN","4in X 6in X 8ft  Pine","4","6","4in X 6in X 8ft","Pine",60.0,"bdft","Wood"
"638PIN","6in X 3in X 8ft  Pine","6","3","6in X 3in X 8ft","Pine",45.0,"bdft","Wood"
"1/2612OAK","1/2in X 6in X 12ft  Oak","1/2","6","1/2in X 6in X 12ft","Oak",14.4,"bdft","Wood"
"NUT014","Upholstery Tack 1/4in",,,,,0.025,"each","Nails"
"228CHE","2in X 2in X 8ft  Cherry","2","2","2in X 2in X 8ft","Cherry",16.0,"bdft","Wood"
"5/8812BIR","5/8in X 8in X 12ft  Birch","5/8","8","5/8in X 8in X 12ft","Birch",16.56,"bdft","Wood"
"12816WAL","12in X 8in X 16ft  Walnut","12","8","12in X 8in X 16ft","Walnut",864.0,"bdft","Wood"
"1/2812WAL","1/2in X 8in X 12ft  Walnut","1/2","8","1/2in X 8in X 12ft","Walnut",21.6,"bdft","Wood"
"11012CHE","1in X 10in X 12ft  Cherry","1","10","1in X 10in X 12ft","Cherry",60.0,"bdft","Wood"
"11216BIR","1in X 12in X 16ft  Birch","1","12","1in X 12in X 16ft","Birch",57.6,"bdft","Wood"
"5/864OAK","5/8in X 6in X 4ft  Oak","5/8","6","5/8in X 6in X 4ft","Oak",5.52,"bdft","Wood"
"688OAK","6in X 8in X 8ft  Oak","6","8","6in X 8in X 8ft","Oak",192.0,"bdft","Wood"
"5/434PIN","5/4in X 3in X 4ft  Pine","5/4","3","5/4in X 3in X 4ft","Pine",3.75,"bdft","Wood"
"3/8128BIR","3/8in X 12in X 8ft  Birch","3/8","12","3/8in X 12in X 8ft","Birch",10.8,"bdft","Wood"
"1/4128CHE","1/4in X 12in X 8ft  Cherry","1/4","12","1/4in X 12in X 8ft","Cherry",12.0,"bdft","Wood"
"5/41212OAK","5/4in X 12in X 12ft  Oak","5/4","12","5/4in X 12in X 12ft","Oak",72.0,"bdft","Wood"
"6128PIN","6in X 12in X 8ft  Pine","6","12","6in X 12in X 8ft","Pine",180.0,"bdft","Wood"
"5/4210BIR","5/4in X 2in X 10ft  Birch","5/4","2","5/4in X 2in X 10ft","Birch",7.5,"bdft","Wood"
"3/4316WAL","3/4in X 3in X 16ft  Walnut","3/4","3","3/4in X 3in X 16ft","Walnut",16.2,"bdft","Wood"
"6612OAK","6in X 6in X 12ft  Oak","6","6","6in X 6in X 12ft","Oak",216.0,"bdft","Wood"
"1264OAK","12in X 6in X 4ft  Oak","12","6","12in X 6in X 4ft","Oak",144.0,"bdft","Wood"
"2312ASH","2in X 3in X 12ft  Ash","2","3","2in X 3in X 12ft","Ash",25.2,"bdft","Wood"
"1212WAL","1in X 2in X 12ft  Walnut","1","2","1in X 2in X 12ft","Walnut",10.8,"bdft","Wood"
"1-1/2104OAK","1-1/2in X 10in X 4ft  Oak","1-1/2","10","1-1/2in X 10in X 4ft","Oak",24.0,"bdft","Wood"
"5/8416ASH","5/8in X 4in X 16ft  Ash","5/8","4","5/8in X 4in X 16ft","Ash",12.88,"bdft","Wood"
"NOW1/4","Oval Wire Nail 1/4in",,,"1/4in","Oval Wire Nail",0.0125,"ea","Nails"
"6210BIR","6in X 2in X 10ft  Birch","6","2","6in X 2in X 10ft","Birch",45.0,"bdft","Wood"
"1/21016ASH","1/2in X 10in X 16ft  Ash","1/2","10","1/2in X 10in X 16ft","Ash",28.0,"bdft","Wood"
"1-1/2816BIR","1-1/2in X 8in X 16ft  Birch","1-1/2","8","1-1/2in X 8in X 16ft","Birch",57.6,"bdft","Wood"
"1/2616BIR","1/2in X 6in X 16ft  Birch","1/2","6","1/2in X 6in X 16ft","Birch",14.4,"bdft","Wood"
"1/2210WAL","1/2in X 2in X 10ft  Walnut","1/2","2","1/2in X 2in X 10ft","Walnut",4.5,"bdft","Wood"
"1810WAL","1in X 8in X 10ft  Walnut","1","8","1in X 8in X 10ft","Walnut",36.0,"bdft","Wood"
"1416WAL","1in X 4in X 16ft  Walnut","1","4","1in X 4in X 16ft","Walnut",28.8,"bdft","Wood"
"1/21012WAL","1/2in X 10in X 12ft  Walnut","1/2","10","1/2in X 10in X 12ft","Walnut",27.0,"bdft","Wood"
"1-1/2810WAL","1-1/2in X 8in X 10ft  Walnut","1-1/2","8","1-1/2in X 8in X 10ft","Walnut",54.0,"bdft","Wood"
"238CHE","2in X 3in X 8ft  Cherry","2","3","2in X 3in X 8ft","Cherry",24.0,"bdft","Wood"
"1/2216OAK","1/2in X 2in X 16ft  Oak","1/2","2","1/2in X 2in X 16ft","Oak",6.4,"bdft","Wood"
"5/4212PIN","5/4in X 2in X 12ft  Pine","5/4","2","5/4in X 2in X 12ft","Pine",7.5,"bdft","Wood"
"5/8616OAK","5/8in X 6in X 16ft  Oak","5/8","6","5/8in X 6in X 16ft","Oak",22.08,"bdft","Wood"
"438CHE","4in X 3in X 8ft  Cherry","4","3","4in X 3in X 8ft","Cherry",60.0,"bdft","Wood"
"121210PIN","12in X 12in X 10ft  Pine","12","12","12in X 12in X 10ft","Pine",450.0,"bdft","Wood"
"5/464WAL","5/4in X 6in X 4ft  Walnut","5/4","6","5/4in X 6in X 4ft","Walnut",13.5,"bdft","Wood"
"12310WAL","12in X 3in X 10ft  Walnut","12","3","12in X 3in X 10ft","Walnut",202.5,"bdft","Wood"
"4312WAL","4in X 3in X 12ft  Walnut","4","3","4in X 3in X 12ft","Walnut",81.0,"bdft","Wood"
"5/4816WAL","5/4in X 8in X 16ft  Walnut","5/4","8","5/4in X 8in X 16ft","Walnut",72.0,"bdft","Wood"
"1/2610CHE","1/2in X 6in X 10ft  Cherry","1/2","6","1/2in X 6in X 10ft","Cherry",15.0,"bdft","Wood"
"NOW1","Oval Wire Nail 1in",,,"1in","Oval Wire Nail",0.05,"ea","Nails"
"101216CHE","10in X 12in X 16ft  Cherry","10","12","10in X 12in X 16ft","Cherry",1200.0,"bdft","Wood"
"6210PIN","6in X 2in X 10ft  Pine","6","2","6in X 2in X 10ft","Pine",37.5,"bdft","Wood"
"2216CHE","2in X 2in X 16ft  Cherry","2","2","2in X 2in X 16ft","Cherry",32.0,"bdft","Wood"
"1/2816BIR","1/2in X 8in X 16ft  Birch","1/2","8","1/2in X 8in X 16ft","Birch",19.2,"bdft","Wood"
"1216WAL","1in X 2in X 16ft  Walnut","1","2","1in X 2in X 16ft","Walnut",14.4,"bdft","Wood"
"NUT112","Upholstery Tack 1-1/2in",,,,,0.15,"each","Nails"
"NOW058","Oval Wire Nail 5/8in",,,,,0.0575,"each","Nails"
"3/834PIN","3/8in X 3in X 4ft  Pine","3/8","3","3/8in X 3in X 4ft","Pine",1.125,"bdft","Wood"
"41016OAK","4in X 10in X 16ft  Oak","4","10","4in X 10in X 16ft","Oak",320.0,"bdft","Wood"
"NF300","Finish Nail 3in",,,,,0.3,"each","Nails"
"1-1/224WAL","1-1/2in X 2in X 4ft  Walnut","1-1/2","2","1-1/2in X 2in X 4ft","Walnut",5.4,"bdft","Wood"
"3/484PIN","3/4in X 8in X 4ft  Pine","3/4","8","3/4in X 8in X 4ft","Pine",6.0,"bdft","Wood"
"6108ASH","6in X 10in X 8ft  Ash","6","10","6in X 10in X 8ft","Ash",210.0,"bdft","Wood"
"1412OAK","1in X 4in X 12ft  Oak","1","4","1in X 4in X 12ft","Oak",19.2,"bdft","Wood"
"12108BIR","12in X 10in X 8ft  Birch","12","10","12in X 10in X 8ft","Birch",360.0,"bdft","Wood"
"2612WAL","2in X 6in X 12ft  Walnut","2","6","2in X 6in X 12ft","Walnut",64.8,"bdft","Wood"
"5/444PIN","5/4in X 4in X 4ft  Pine","5/4","4","5/4in X 4in X 4ft","Pine",5.0,"bdft","Wood"
"5/8610BIR","5/8in X 6in X 10ft  Birch","5/8","6","5/8in X 6in X 10ft","Birch",10.35,"bdft","Wood"
"5/8104CHE","5/8in X 10in X 4ft  Cherry","5/8","10","5/8in X 10in X 4ft","Cherry",11.5,"bdft","Wood"
"1/41212ASH","1/4in X 12in X 12ft  Ash","1/4","12","1/4in X 12in X 12ft","Ash",12.6,"bdft","Wood"
"124BIR","1in X 2in X 4ft  Birch","1","2","1in X 2in X 4ft","Birch",2.4,"bdft","Wood"
"1-1/2128WAL","1-1/2in X 12in X 8ft  Walnut","1-1/2","12","1-1/2in X 12in X 8ft","Walnut",64.8,"bdft","Wood"
"2810ASH","2in X 8in X 10ft  Ash","2","8","2in X 8in X 10ft","Ash",56.0,"bdft","Wood"
"5/448WAL","5/4in X 4in X 8ft  Walnut","5/4","4","5/4in X 4in X 8ft","Walnut",18.0,"bdft","Wood"
"5/4212BIR","5/4in X 2in X 12ft  Birch","5/4","2","5/4in X 2in X 12ft","Birch",9.0,"bdft","Wood"
"1-1/21212BIR","1-1/2in X 12in X 12ft  Birch","1-1/2","12","1-1/2in X 12in X 12ft","Birch",64.8,"bdft","Wood"
"101010PIN","10in X 10in X 10ft  Pine","10","10","10in X 10in X 10ft","Pine",312.5,"bdft","Wood"
"5/8316PIN","5/8in X 3in X 16ft  Pine","5/8","3","5/8in X 3in X 16ft","Pine",6.9,"bdft","Wood"
"1/41012CHE","1/4in X 10in X 12ft  Cherry","1/4","10","1/4in X 10in X 12ft","Cherry",15.0,"bdft","Wood"
"3/4616BIR","3/4in X 6in X 16ft  Birch","3/4","6","3/4in X 6in X 16ft","Birch",21.6,"bdft","Wood"
"1/4812ASH","1/4in X 8in X 12ft  Ash","1/4","8","1/4in X 8in X 12ft","Ash",8.4,"bdft","Wood"
"6104WAL","6in X 10in X 4ft  Walnut","6","10","6in X 10in X 4ft","Walnut",135.0,"bdft","Wood"
"3/41210CHE","3/4in X 12in X 10ft  Cherry","3/4","12","3/4in X 12in X 10ft","Cherry",45.0,"bdft","Wood"
"1-1/2128ASH","1-1/2in X 12in X 8ft  Ash","1-1/2","12","1-1/2in X 12in X 8ft","Ash",50.4,"bdft","Wood"
"5/8128BIR","5/8in X 12in X 8ft  Birch","5/8","12","5/8in X 12in X 8ft","Birch",16.56,"bdft","Wood"
"5/8616WAL","5/8in X 6in X 16ft  Walnut","5/8","6","5/8in X 6in X 16ft","Walnut",24.84,"bdft","Wood"
"2210WAL","2in X 2in X 10ft  Walnut","2","2","2in X 2in X 10ft","Walnut",18.0,"bdft","Wood"
"1/268ASH","1/2in X 6in X 8ft  Ash","1/2","6","1/2in X 6in X 8ft","Ash",8.4,"bdft","Wood"
"3/8128PIN","3/8in X 12in X 8ft  Pine","3/8","12","3/8in X 12in X 8ft","Pine",9.0,"bdft","Wood"
"12216OAK","12in X 2in X 16ft  Oak","12","2","12in X 2in X 16ft","Oak",192.0,"bdft","Wood"
"3/8612ASH","3/8in X 6in X 12ft  Ash","3/8","6","3/8in X 6in X 12ft","Ash",9.45,"bdft","Wood"
"NST2-1/2","Staples 2-1/2in",,,"2-1/2in","Staples",0.125,"ea","Nails"
"3/848ASH","3/8in X 4in X 8ft  Ash","3/8","4","3/8in X 4in X 8ft","Ash",4.2,"bdft","Wood"
"4124WAL","4in X 12in X 4ft  Walnut","4","12","4in X 12in X 4ft","Walnut",108.0,"bdft","Wood"
"1244CHE","12in X 4in X 4ft  Cherry","12","4","12in X 4in X 4ft","Cherry",120.0,"bdft","Wood"
"1-1/21012PIN","1-1/2in X 10in X 12ft  Pine","1-1/2","10","1-1/2in X 10in X 12ft","Pine",45.0,"bdft","Wood"
"1/4128BIR","1/4in X 12in X 8ft  Birch","1/4","12","1/4in X 12in X 8ft","Birch",7.2,"bdft","Wood"
"11010BIR","1in X 10in X 10ft  Birch","1","10","1in X 10in X 10ft","Birch",30.0,"bdft","Wood"
"1-1/2108CHE","1-1/2in X 10in X 8ft  Cherry","1-1/2","10","1-1/2in X 10in X 8ft","Cherry",60.0,"bdft","Wood"
"61210ASH","6in X 12in X 10ft  Ash","6","12","6in X 12in X 10ft","Ash",315.0,"bdft","Wood"
"NOW200","Oval Wire Nail 2in",,,,,0.2,"each","Nails"
"NST212","Staples 2-1/2in",,,,,0.25,"each","Nails"
"2316ASH","2in X 3in X 16ft  Ash","2","3","2in X 3in X 16ft","Ash",33.6,"bdft","Wood"
"101216ASH","10in X 12in X 16ft  Ash","10","12","10in X 12in X 16ft","Ash",840.0,"bdft","Wood"
"5/81012BIR","5/8in X 10in X 12ft  Birch","5/8","10","5/8in X 10in X 12ft","Birch",20.7,"bdft","Wood"
"1128PIN","1in X 12in X 8ft  Pine","1","12","1in X 12in X 8ft","Pine",24.0,"bdft","Wood"
"NC014","Common Nail 1/4in",,,,,0.025,"each","Nails"
"1-1/224CHE","1-1/2in X 2in X 4ft  Cherry","1-1/2","2","1-1/2in X 2in X 4ft","Cherry",6.0,"bdft","Wood"
"12412ASH","12in X 4in X 12ft  Ash","12","4","12in X 4in X 12ft","Ash",252.0,"bdft","Wood"
"5/438ASH","5/4in X 3in X 8ft  Ash","5/4","3","5/4in X 3in X 8ft","Ash",10.5,"bdft","Wood"
"1-1/2612ASH","1-1/2in X 6in X 12ft  Ash","1-1/2","6","1-1/2in X 6in X 12ft","Ash",37.8,"bdft","Wood"
"3/424OAK","3/4in X 2in X 4ft  Oak","3/4","2","3/4in X 2in X 4ft","Oak",2.4,"bdft","Wood"
"3/4416OAK","3/4in X 4in X 16ft  Oak","3/4","4","3/4in X 4in X 16ft","Oak",19.2,"bdft","Wood"
"1/2216CHE","1/2in X 2in X 16ft  Cherry","1/2","2","1/2in X 2in X 16ft","Cherry",8.0,"bdft","Wood"
"11012WAL","1in X 10in X 12ft  Walnut","1","10","1in X 10in X 12ft","Walnut",54.0,"bdft","Wood"
"1/4610WAL","1/4in X 6in X 10ft  Walnut","1/4","6","1/4in X 6in X 10ft","Walnut",6.75,"bdft","Wood"
"3/868WAL","3/8in X 6in X 8ft  Walnut","3/8","6","3/8in X 6in X 8ft","Walnut",8.1,"bdft","Wood"
"NUT2","Upholstery Tack 2in",,,"2in","Upholstery Tack",0.1,"ea","Nails"
"2816WAL","2in X 8in X 16ft  Walnut","2","8","2in X 8in X 16ft","Walnut",115.2,"bdft","Wood"
"4316WAL","4in X 3in X 16ft  Walnut","4","3","4in X 3in X 16ft","Walnut",108.0,"bdft","Wood"
"2216ASH","2in X 2in X 16ft  Ash","2","2","2in X 2in X 16ft","Ash",22.4,"bdft","Wood"
"6128CHE","6in X 12in X 8ft  Cherry","6","12","6in X 12in X 8ft","Cherry",360.0,"bdft","Wood"
"3/41212OAK","3/4in X 12in X 12ft  Oak","3/4","12","3/4in X 12in X 12ft","Oak",43.2,"bdft","Wood"
"1/2416ASH","1/2in X 4in X 16ft  Ash","1/2","4","1/2in X 4in X 16ft","Ash",11.2,"bdft","Wood"
"1/21212OAK","1/2in X 12in X 12ft  Oak","1/2","12","1/2in X 12in X 12ft","Oak",28.8,"bdft","Wood"
"248WAL","2in X 4in X 8ft  Walnut","2","4","2in X 4in X 8ft","Walnut",28.8,"bdft","Wood"
"1/4810WAL","1/4in X 8in X 10ft  Walnut","1/4","8","1/4in X 8in X 10ft","Walnut",9.0,"bdft","Wood"
"1-1/2210ASH","1-1/2in X 2in X 10ft  Ash","1-1/2","2","1-1/2in X 2in X 10ft","Ash",10.5,"bdft","Wood"
"664BIR","6in X 6in X 4ft  Birch","6","6","6in X 6in X 4ft","Birch",54.0,"bdft","Wood"
"12210WAL","12in X 2in X 10ft  Walnut","12","2","12in X 2in X 10ft","Walnut",135.0,"bdft","Wood"
"138CHE","1in X 3in X 8ft  Cherry","1","3","1in X 3in X 8ft","Cherry",12.0,"bdft","Wood"
"NF100","Finish Nail 1in",,,,,0.1,"each","Nails"
"101012ASH","10in X 10in X 12ft  Ash","10","10","10in X 10in X 12ft","Ash",525.0,"bdft","Wood"
"12610OAK","12in X 6in X 10ft  Oak","12","6","12in X 6in X 10ft","Oak",360.0,"bdft","Wood"
"5/848OAK","5/8in X 4in X 8ft  Oak","5/8","4","5/8in X 4in X 8ft","Oak",7.36,"bdft","Wood"
"3/8310BIR","3/8in X 3in X 10ft  Birch","3/8","3","3/8in X 3in X 10ft","Birch",3.375,"bdft","Wood"
"1/4108CHE","1/4in X 10in X 8ft  Cherry","1/4","10","1/4in X 10in X 8ft","Cherry",10.0,"bdft","Wood"
"2124PIN","2in X 12in X 4ft  Pine","2","12","2in X 12in X 4ft","Pine",24.0,"bdft","Wood"
"NF3/8","Finish Nail 3/8in",,,"3/8in","Finish Nail",0.01875,"ea","Nails"
"1/2616CHE","1/2in X 6in X 16ft  Cherry","1/2","6","1/2in X 6in X 16ft","Cherry",24.0,"bdft","Wood"
"4128OAK","4in X 12in X 8ft  Oak","4","12","4in X 12in X 8ft","Oak",192.0,"bdft","Wood"
"128WAL","1in X 2in X 8ft  Walnut","1","2","1in X 2in X 8ft","Walnut",7.2,"bdft","Wood"
"121210WAL","12in X 12in X 10ft  Walnut","12","12","12in X 12in X 10ft","Walnut",810.0,"bdft","Wood"
"448CHE","4in X 4in X 8ft  Cherry","4","4","4in X 4in X 8ft","Cherry",80.0,"bdft","Wood"
"11016WAL","1in X 10in X 16ft  Walnut","1","10","1in X 10in X 16ft","Walnut",72.0,"bdft","Wood"
"12124OAK","12in X 12in X 4ft  Oak","12","12","12in X 12in X 4ft","Oak",288.0,"bdft","Wood"
"1-1/21212PIN","1-1/2in X 12in X 12ft  Pine","1-1/2","12","1-1/2in X 12in X 12ft","Pine",54.0,"bdft","Wood"
"12216ASH","12in X 2in X 16ft  Ash","12","2","12in X 2in X 16ft","Ash",168.0,"bdft","Wood"
"248BIR","2in X 4in X 8ft  Birch","2","4","2in X 4in X 8ft","Birch",19.2,"bdft","Wood"
"12410CHE","12in X 4in X 10ft  Cherry","12","4","12in X 4in X 10ft","Cherry",300.0,"bdft","Wood"
"5/81012OAK","5/8in X 10in X 12ft  Oak","5/8","10","5/8in X 10in X 12ft","Oak",27.6,"bdft","Wood"
"444PIN","4in X 4in X 4ft  Pine","4","4","4in X 4in X 4ft","Pine",20.0,"bdft","Wood"
"1/4104BIR","1/4in X 10in X 4ft  Birch","1/4","10","1/4in X 10in X 4ft","Birch",3.0,"bdft","Wood"
"3/8210BIR","3/8in X 2in X 10ft  Birch","3/8","2","3/8in X 2in X 10ft","Birch",2.25,"bdft","Wood"
"4616ASH","4in X 6in X 16ft  Ash","4","6","4in X 6in X 16ft","Ash",168.0,"bdft","Wood"
"4312CHE","4in X 3in X 12ft  Cherry","4","3","4in X 3in X 12ft","Cherry",90.0,"bdft","Wood"
"4108CHE","4in X 10in X 8ft  Cherry","4","10","4in X 10in X 8ft","Cherry",200.0,"bdft","Wood"
"5/4612OAK","5/4in X 6in X 12ft  Oak","5/4","6","5/4in X 6in X 12ft","Oak",36.0,"bdft","Wood"
"148CHE","1in X 4in X 8ft  Cherry","1","4","1in X 4in X 8ft","Cherry",16.0,"bdft","Wood"
"3/8616PIN","3/8in X 6in X 16ft  Pine","3/8","6","3/8in X 6in X 16ft","Pine",9.0,"bdft","Wood"
"1/2410CHE","1/2in X 4in X 10ft  Cherry","1/2","4","1/2in X 4in X 10ft","Cherry",10.0,"bdft","Wood"
"6104CHE","6in X 10in X 4ft  Cherry","6","10","6in X 10in X 4ft","Cherry",150.0,"bdft","Wood"
"5/41012WAL","5/4in X 10in X 12ft  Walnut","5/4","10","5/4in X 10in X 12ft","Walnut",67.5,"bdft","Wood"
"1/21210CHE","1/2in X 12in X 10ft  Cherry","1/2","12","1/2in X 12in X 10ft","Cherry",30.0,"bdft","Wood"
"1/424ASH","1/4in X 2in X 4ft  Ash","1/4","2","1/4in X 2in X 4ft","Ash",0.7,"bdft","Wood"
"3/488WAL","3/4in X 8in X 8ft  Walnut","3/4","8","3/4in X 8in X 8ft","Walnut",21.6,"bdft","Wood"
"664OAK","6in X 6in X 4ft  Oak","6","6","6in X 6in X 4ft","Oak",72.0,"bdft","Wood"
"1312CHE","1in X 3in X 12ft  Cherry","1","3","1in X 3in X 12ft","Cherry",18.0,"bdft","Wood"
"2310WAL","2in X 3in X 10ft  Walnut","2","3","2in X 3in X 10ft","Walnut",27.0,"bdft","Wood"
"1/4312WAL","1/4in X 3in X 12ft  Walnut","1/4","3","1/4in X 3in X 12ft","Walnut",4.05,"bdft","Wood"
"101016WAL","10in X 10in X 16ft  Walnut","10","10","10in X 10in X 16ft","Walnut",900.0,"bdft","Wood"
"10128WAL","10in X 12in X 8ft  Walnut","10","12","10in X 12in X 8ft","Walnut",540.0,"bdft","Wood"
"1064PIN","10in X 6in X 4ft  Pine","10","6","10in X 6in X 4ft","Pine",75.0,"bdft","Wood"
"1/2108BIR","1/2in X 10in X 8ft  Birch","1/2","10","1/2in X 10in X 8ft","Birch",12.0,"bdft","Wood"
"424WAL","4in X 2in X 4ft  Walnut","4","2","4in X 2in X 4ft","Walnut",18.0,"bdft","Wood"
"12610PIN","12in X 6in X 10ft  Pine","12","6","12in X 6in X 10ft","Pine",225.0,"bdft","Wood"
"5/844WAL","5/8in X 4in X 4ft  Walnut","5/8","4","5/8in X 4in X 4ft","Walnut",4.14,"bdft","Wood"
"4612ASH","4in X 6in X 12ft  Ash","4","6","4in X 6in X 12ft","Ash",126.0,"bdft","Wood"
"1/284ASH","1/2in X 8in X 4ft  Ash","1/2","8","1/2in X 8in X 4ft","Ash",5.6,"bdft","Wood"
"3/4210OAK","3/4in X 2in X 10ft  Oak","3/4","2","3/4in X 2in X 10ft","Oak",6.0,"bdft","Wood"
"3/4412WAL","3/4in X 4in X 12ft  Walnut","3/4","4","3/4in X 4in X 12ft","Walnut",16.2,"bdft","Wood"
"244BIR","2in X 4in X 4ft  Birch","2","4","2in X 4in X 4ft","Birch",9.6,"bdft","Wood"
"1-1/2128OAK","1-1/2in X 12in X 8ft  Oak","1-1/2","12","1-1/2in X 12in X 8ft","Oak",57.6,"bdft","Wood"
"1/484ASH","1/4in X 8in X 4ft  Ash","1/4","8","1/4in X 8in X 4ft","Ash",2.8,"bdft","Wood"
"NST078","Staples 7/8in",,,,,0.0875,"each","Nails"
"4610CHE","4in X 6in X 10ft  Cherry","4","6","4in X 6in X 10ft","Cherry",150.0,"bdft","Wood"
"1/2128PIN","1/2in X 12in X 8ft  Pine","1/2","12","1/2in X 12in X 8ft","Pine",12.0,"bdft","Wood"
"NOW300","Oval Wire Nail 3in",,,,,0.3,"each","Nails"
"101016CHE","10in X 10in X 16ft  Cherry","10","10","10in X 10in X 16ft","Cherry",1000.0,"bdft","Wood"
"3/41210ASH","3/4in X 12in X 10ft  Ash","3/4","12","3/4in X 12in X 10ft","Ash",31.5,"bdft","Wood"
"634PIN","6in X 3in X 4ft  Pine","6","3","6in X 3in X 4ft","Pine",22.5,"bdft","Wood"
"5/4310WAL","5/4in X 3in X 10ft  Walnut","5/4","3","5/4in X 3in X 10ft","Walnut",16.875,"bdft","Wood"
"1284BIR","12in X 8in X 4ft  Birch","12","8","12in X 8in X 4ft","Birch",144.0,"bdft","Wood"
"1-1/2104PIN","1-1/2in X 10in X 4ft  Pine","1-1/2","10","1-1/2in X 10in X 4ft","Pine",15.0,"bdft","Wood"
"61010CHE","6in X 10in X 10ft  Cherry","6","10","6in X 10in X 10ft","Cherry",375.0,"bdft","Wood"
"NC1","Common Nail 1in",,,"1in","Common Nail",0.05,"ea","Nails"
"648BIR","6in X 4in X 8ft  Birch","6","4","6in X 4in X 8ft","Birch",72.0,"bdft","Wood"
"5/488ASH","5/4in X 8in X 8ft  Ash","5/4","8","5/4in X 8in X 8ft","Ash",28.0,"bdft","Wood"
"4812OAK","4in X 8in X 12ft  Oak","4","8","4in X 8in X 12ft","Oak",192.0,"bdft","Wood"
"121012WAL","12in X 10in X 12ft  Walnut","12","10","12in X 10in X 12ft","Walnut",810.0,"bdft","Wood"
"1/448OAK","1/4in X 4in X 8ft  Oak","1/4","4","1/4in X 4in X 8ft","Oak",3.2,"bdft","Wood"
"1/2128OAK","1/2in X 12in X 8ft  Oak","1/2","12","1/2in X 12in X 8ft","Oak",19.2,"bdft","Wood"
"124PIN","1in X 2in X 4ft  Pine","1","2","1in X 2in X 4ft","Pine",2.0,"bdft","Wood"
"1248PIN","12in X 4in X 8ft  Pine","12","4","12in X 4in X 8ft","Pine",120.0,"bdft","Wood"
"1238WAL","12in X 3in X 8ft  Walnut","12","3","12in X 3in X 8ft","Walnut",162.0,"bdft","Wood"
"5/824OAK","5/8in X 2in X 4ft  Oak","5/8","2","5/8in X 2in X 4ft","Oak",1.84,"bdft","Wood"
"3/4612ASH","3/4in X 6in X 12ft  Ash","3/4","6","3/4in X 6in X 12ft","Ash",18.9,"bdft","Wood"
"12416CHE","12in X 4in X 16ft  Cherry","12","4","12in X 4in X 16ft","Cherry",480.0,"bdft","Wood"
"2812WAL","2in X 8in X 12ft  Walnut","2","8","2in X 8in X 12ft","Walnut",86.4,"bdft","Wood"
"3/41012ASH","3/4in X 10in X 12ft  Ash","3/4","10","3/4in X 10in X 12ft","Ash",31.5,"bdft","Wood"
"628WAL","6in X 2in X 8ft  Walnut","6","2","6in X 2in X 8ft","Walnut",54.0,"bdft","Wood"
"638WAL","6in X 3in X 8ft  Walnut","6","3","6in X 3in X 8ft","Walnut",81.0,"bdft","Wood"
"5/4416ASH","5/4in X 4in X 16ft  Ash","5/4","4","5/4in X 4in X 16ft","Ash",28.0,"bdft","Wood"
"NST3/8","Staples 3/8in",,,"3/8in","Staples",0.01875,"ea","Nails"
"FINSTN","Urethane Satin Finish",,,"1oz","Urethane Finish",0.8,"ea","Finish"
"3/8128ASH","3/8in X 12in X 8ft  Ash","3/8","12","3/8in X 12in X 8ft","Ash",12.6,"bdft","Wood"
"1-1/21012BIR","1-1/2in X 10in X 12ft  Birch","1-1/2","10","1-1/2in X 10in X 12ft","Birch",54.0,"bdft","Wood"
"3/888BIR","3/8in X 8in X 8ft  Birch","3/8","8","3/8in X 8in X 8ft","Birch",7.2,"bdft","Wood"
"5/81216CHE","5/8in X 12in X 16ft  Cherry","5/8","12","5/8in X 12in X 16ft","Cherry",55.2,"bdft","Wood"
"5/4416OAK","5/4in X 4in X 16ft  Oak","5/4","4","5/4in X 4in X 16ft","Oak",32.0,"bdft","Wood"
"3/81012WAL","3/8in X 10in X 12ft  Walnut","3/8","10","3/8in X 10in X 12ft","Walnut",20.25,"bdft","Wood"
"12810OAK","12in X 8in X 10ft  Oak","12","8","12in X 8in X 10ft","Oak",480.0,"bdft","Wood"
"21216OAK","2in X 12in X 16ft  Oak","2","12","2in X 12in X 16ft","Oak",153.6,"bdft","Wood"
"1-1/2416CHE","1-1/2in X 4in X 16ft  Cherry","1-1/2","4","1-1/2in X 4in X 16ft","Cherry",48.0,"bdft","Wood"
"12104BIR","12in X 10in X 4ft  Birch","12","10","12in X 10in X 4ft","Birch",180.0,"bdft","Wood"
"11016CHE","1in X 10in X 16ft  Cherry","1","10","1in X 10in X 16ft","Cherry",80.0,"bdft","Wood"
"3/8312CHE","3/8in X 3in X 12ft  Cherry","3/8","3","3/8in X 3in X 12ft","Cherry",6.75,"bdft","Wood"
"3/4416ASH","3/4in X 4in X 16ft  Ash","3/4","4","3/4in X 4in X 16ft","Ash",16.8,"bdft","Wood"
"1/2210BIR","1/2in X 2in X 10ft  Birch","1/2","2","1/2in X 2in X 10ft","Birch",3.0,"bdft","Wood"
